Date         PM25    PBLH     PBLHm    T2         SPD     RAIN
2017010200  102.8525 249.4870 142.2590 271.3741   3.4584   1.1891
2017010300  136.2309 161.5710 139.9389 272.5823   3.5060   1.0591
2017010400  183.4219 143.2858 182.7609 271.9748   2.7643   0.9698
2017010500  146.0114 190.0988 188.2001 271.0209   2.8095   0.9425
2017010600  168.6900 143.3598 238.3788 272.4694   2.1803   1.0618
2017010700  116.3770 223.2813 149.9675 270.3071   3.0515   3.4309
2017010800   43.3789 423.5366  93.6425 269.5750   4.5020   3.3939
2017010900   38.8796 516.8707  89.0562 267.7750   4.4686   3.0100
2017011000   37.9476 444.7922 131.8211 267.4671   3.5817   2.6533
2017011100   55.8200 374.5111 123.8754 269.0437   3.5640   2.3384
2017011200   44.3974 577.9932 127.4567 268.1996   3.9877   2.0952
2017011300   22.0628 498.3789  85.9780 266.5324   5.0245   1.8525
2017011400   36.1671 320.8318 160.1267 266.8847   2.9503   1.6709
2017011500   76.3510 273.3210 175.5049 267.6906   2.8938   1.5815
2017011600  100.2487 247.9872 205.9832 268.1718   2.5346   1.6978
2017011700   84.1719 440.7312 117.6625 268.1646   3.8216   1.7431
2017011800   66.8230 320.9318 159.3710 268.3533   2.9856   1.9992
2017011900   24.6583 805.2842  47.8893 263.4920   8.0834   4.6920
2017012000   39.9805 470.9405 110.5307 264.8358   4.0986   4.2962
2017012100   16.9255 798.8431  42.8711 263.8448   7.1001   3.8891
2017012200   39.3903 378.9225 171.6069 264.4993   2.9188   3.5669
2017012300   54.9293 239.6633 180.2806 265.8678   2.6726   3.3156
2017012400   91.0648 202.1666 244.5179 268.5145   2.1071   3.0509
2017012500  191.6052 257.3242 156.4902 271.2602   3.2825   2.7255
2017012600   51.7900 654.7400  80.6252 270.2630   6.4248   2.3157
2017012700   75.4350 369.1058 117.7348 270.2374   3.9103   1.9952
2017012800  140.3200 393.6357 111.4393 270.9362   4.6408   1.7864
2017012900   17.3679 763.0126  30.0628 265.5244   6.8528   1.5732
2017013000   37.4253 470.4930 109.0106 267.4861   3.5561   1.4131
2017013100   41.2495 530.9752  77.1668 268.9418   4.6972   1.2548
2017020100   42.6297 298.8661 162.1048 268.4019   3.0115   1.1220
2017020200  104.4266 223.9914 165.6825 272.3245   2.9345   1.0029
2017020300  162.0642 235.7686 184.7832 274.2790   2.7272   0.8914
2017020400  107.7883 435.0015 117.5659 273.4855   4.0668   0.7974
2017020500   24.4017 572.9019  86.2434 272.0255   4.4392   0.6900
2017020600   34.8458 399.3611 200.2458 270.8471   2.6632   0.6063
2017020700   64.8436 411.1588 157.6364 270.8842   3.2999   0.6308
2017020800   17.5106 901.7207  17.7179 267.6291   7.7988   0.6078
2017020900   11.2727 968.6269  22.6004 266.6540   7.7909   0.5177
2017021000   19.2104 661.7651  61.1650 268.6316   5.6706   0.4425
2017021100   49.7345 413.1222 163.4646 272.1014   3.1279   0.3897
