Date         PM25    PBLH     PBLHm    T2         SPD     RAIN
2018010200   24.7447 502.5633  65.8699 266.0231   5.0161   0.1086
2018010300   20.6175 424.4342  86.2119 265.5183   4.6758   0.0997
2018010400   26.8910 289.3907 182.0589 266.3507   2.8761   0.0920
2018010500   34.7073 299.7977  87.9381 266.9144   4.4095   0.0855
2018010600   51.7851 180.6566 295.0069 269.3171   1.9243   0.0830
2018010700   49.9753 453.4562 137.9923 269.1862   3.6208   0.1054
2018010800   18.5860 982.7211  43.0621 265.7497   6.7475   0.1001
2018010900   13.3407 1220.3151  26.1760 264.2416   7.5442   0.0912
2018011000   12.4304 891.2816  36.8992 261.9000   5.8954   0.0836
2018011100   24.4134 444.3483 107.6853 263.0450   4.0568   0.0781
2018011200   57.6009 228.6441 107.7402 268.4754   3.8655   0.0736
2018011300  109.1714 217.6819 157.3547 270.2018   3.0917   0.0725
2018011400   49.8202 407.6288  83.7759 270.3590   4.5850   0.0763
2018011500   51.4046 338.1178 121.3751 269.5353   3.8698   0.0832
2018011600   55.5413 294.0441 181.4735 269.3489   3.0155   0.0862
2018011700   42.4929 472.7526 119.7459 268.8203   4.2253   0.0802
2018011800   62.8485 368.5341 107.0247 269.7313   3.9108   0.0741
2018011900   44.3588 382.2624 119.6994 270.2180   3.7691   0.0689
2018012000   38.4030 438.4086  87.4039 268.9576   4.5495   0.1175
2018012100   40.5210 370.7175  89.0204 266.6120   4.4829   2.0127
2018012200   20.7432 737.4117  56.9670 260.1833   5.6678   4.6256
2018012300   19.7770 569.1316 124.0202 259.1029   4.2851   4.2823
2018012400   25.0381 564.8882 135.0998 261.7292   3.6319   3.9664
2018012500   23.4883 480.2386 136.4379 260.7319   3.5360   3.6270
2018012600   47.2301 359.8557 207.0265 262.7856   2.3763   3.3584
2018012700   60.8009 528.7177 140.7924 264.3811   4.3106   3.1834
2018012800   15.4415 790.7960  48.4559 262.0856   6.3767   2.8651
